
Results for prediction length: 25
Experiment 33: ADE_a: 0.2079±0.0211, ADE_b: 0.2556±0.0385, ADE_c: 1.2692±0.5386, ADE_c: 0.2284±0.0149, FDE_a: 0.4872±0.0501, FDE_b: 0.5413±0.0345, FDE_c: 4.9727±2.5000, FDE_d: 0.5394±0.0330
Experiment 34: ADE_a: 0.2051±0.0215, ADE_b: 0.2579±0.0427, ADE_c: 1.2770±0.5182, ADE_c: 0.2273±0.0147, FDE_a: 0.4785±0.0526, FDE_b: 0.5382±0.0368, FDE_c: 4.9121±2.2615, FDE_d: 0.5342±0.0351
Experiment 35: ADE_a: 0.2036±0.0224, ADE_b: 0.2553±0.0392, ADE_c: 1.2375±0.4621, ADE_c: 0.2272±0.0144, FDE_a: 0.4762±0.0515, FDE_b: 0.5374±0.0347, FDE_c: 4.8527±2.1893, FDE_d: 0.5336±0.0331
Experiment 36: ADE_a: 0.2072±0.0209, ADE_b: 0.2546±0.0393, ADE_c: 1.2792±0.5413, ADE_c: 0.2271±0.0142, FDE_a: 0.4825±0.0505, FDE_b: 0.5371±0.0350, FDE_c: 5.0674±2.5757, FDE_d: 0.5344±0.0343
Experiment 37: ADE_a: 0.2046±0.0226, ADE_b: 0.2545±0.0381, ADE_c: 1.2491±0.4636, ADE_c: 0.2271±0.0149, FDE_a: 0.4804±0.0554, FDE_b: 0.5380±0.0359, FDE_c: 4.8300±1.9720, FDE_d: 0.5343±0.0347
Experiment 38: ADE_a: 0.2036±0.0236, ADE_b: 0.2572±0.0406, ADE_c: 1.1897±0.4040, ADE_c: 0.2274±0.0154, FDE_a: 0.4740±0.0535, FDE_b: 0.5402±0.0351, FDE_c: 4.5123±1.6156, FDE_d: 0.5346±0.0346
Experiment 39: ADE_a: 0.2034±0.0228, ADE_b: 0.2556±0.0399, ADE_c: 1.1915±0.3947, ADE_c: 0.2271±0.0151, FDE_a: 0.4745±0.0523, FDE_b: 0.5374±0.0353, FDE_c: 4.5778±1.6921, FDE_d: 0.5340±0.0343
Experiment 40: ADE_a: 0.2061±0.0223, ADE_b: 0.2541±0.0398, ADE_c: 1.2171±0.4779, ADE_c: 0.2273±0.0151, FDE_a: 0.4793±0.0460, FDE_b: 0.5371±0.0342, FDE_c: 4.8861±2.3918, FDE_d: 0.5345±0.0333
Experiment 41: ADE_a: 0.2038±0.0231, ADE_b: 0.2558±0.0391, ADE_c: 1.2169±0.4455, ADE_c: 0.2284±0.0156, FDE_a: 0.4725±0.0495, FDE_b: 0.5421±0.0358, FDE_c: 4.7307±1.9926, FDE_d: 0.5369±0.0352
Experiment 42: ADE_a: 0.2060±0.0230, ADE_b: 0.2528±0.0367, ADE_c: 1.2499±0.4857, ADE_c: 0.2277±0.0145, FDE_a: 0.4810±0.0520, FDE_b: 0.5371±0.0337, FDE_c: 5.0158±2.3411, FDE_d: 0.5350±0.0335
Experiment 43: ADE_a: 0.2038±0.0227, ADE_b: 0.2544±0.0367, ADE_c: 1.2324±0.4735, ADE_c: 0.2281±0.0152, FDE_a: 0.4782±0.0533, FDE_b: 0.5393±0.0354, FDE_c: 4.9606±2.3752, FDE_d: 0.5358±0.0344
Experiment 44: ADE_a: 0.2045±0.0218, ADE_b: 0.2572±0.0414, ADE_c: 1.2005±0.4025, ADE_c: 0.2281±0.0149, FDE_a: 0.4757±0.0484, FDE_b: 0.5406±0.0374, FDE_c: 4.6766±1.7706, FDE_d: 0.5369±0.0357
Experiment 45: ADE_a: 0.2069±0.0259, ADE_b: 0.2549±0.0379, ADE_c: 1.2249±0.4145, ADE_c: 0.2297±0.0156, FDE_a: 0.4832±0.0638, FDE_b: 0.5440±0.0384, FDE_c: 4.8429±1.8916, FDE_d: 0.5398±0.0371
Experiment 46: ADE_a: 0.2057±0.0226, ADE_b: 0.2550±0.0374, ADE_c: 1.1733±0.3720, ADE_c: 0.2287±0.0154, FDE_a: 0.4769±0.0494, FDE_b: 0.5408±0.0356, FDE_c: 4.5348±1.6012, FDE_d: 0.5367±0.0340
Experiment 47: ADE_a: 0.2061±0.0208, ADE_b: 0.2531±0.0351, ADE_c: 1.1851±0.3847, ADE_c: 0.2287±0.0142, FDE_a: 0.4845±0.0434, FDE_b: 0.5419±0.0318, FDE_c: 4.5741±1.5359, FDE_d: 0.5404±0.0285
Experiment 48: ADE_a: 0.2042±0.0224, ADE_b: 0.2543±0.0392, ADE_c: 1.1840±0.3931, ADE_c: 0.2269±0.0144, FDE_a: 0.4743±0.0514, FDE_b: 0.5374±0.0350, FDE_c: 4.5890±1.6167, FDE_d: 0.5335±0.0334
