Results for prediction length: 25
Experiment 12: ADE_a: 0.3327±0.1474, ADE_b: 0.5104±0.1684, ADE_c: 1.2946±0.2369, ADE_c: 0.2191±0.0106, FDE_a: 0.6758±0.0746, FDE_b: 0.5150±0.0207, FDE_c: 4.2964±0.5609, FDE_d: 0.5132±0.0228
Experiment 13: ADE_a: 0.3302±0.1406, ADE_b: 0.5018±0.1525, ADE_c: 1.3102±0.2500, ADE_c: 0.2215±0.0120, FDE_a: 0.6603±0.0752, FDE_b: 0.5173±0.0237, FDE_c: 4.3627±0.6053, FDE_d: 0.5180±0.0227
Experiment 14: ADE_a: 0.3279±0.1380, ADE_b: 0.4927±0.1512, ADE_c: 1.3098±0.2568, ADE_c: 0.2216±0.0109, FDE_a: 0.6779±0.0705, FDE_b: 0.5251±0.0184, FDE_c: 4.3239±0.5881, FDE_d: 0.5280±0.0175
Experiment 15: ADE_a: 0.3204±0.1340, ADE_b: 0.4850±0.1494, ADE_c: 1.3372±0.2671, ADE_c: 0.2228±0.0113, FDE_a: 0.6602±0.0751, FDE_b: 0.5276±0.0232, FDE_c: 4.4582±0.6641, FDE_d: 0.5272±0.0251
Experiment 16: ADE_a: 0.3187±0.1288, ADE_b: 0.4802±0.1432, ADE_c: 1.3265±0.2774, ADE_c: 0.2226±0.0130, FDE_a: 0.6543±0.0816, FDE_b: 0.5256±0.0240, FDE_c: 4.3914±0.6430, FDE_d: 0.5250±0.0268
Experiment 17: ADE_a: 0.3151±0.1280, ADE_b: 0.4775±0.1392, ADE_c: 1.3308±0.2918, ADE_c: 0.2268±0.0126, FDE_a: 0.6398±0.0791, FDE_b: 0.5371±0.0266, FDE_c: 4.4047±0.6657, FDE_d: 0.5346±0.0287
Experiment 18: ADE_a: 0.3131±0.1244, ADE_b: 0.4681±0.1382, ADE_c: 1.3384±0.2945, ADE_c: 0.2248±0.0107, FDE_a: 0.6363±0.0788, FDE_b: 0.5289±0.0215, FDE_c: 4.4207±0.6661, FDE_d: 0.5286±0.0218
Experiment 19: ADE_a: 0.3132±0.1173, ADE_b: 0.4763±0.1316, ADE_c: 1.3489±0.3060, ADE_c: 0.2327±0.0076, FDE_a: 0.6513±0.0756, FDE_b: 0.5471±0.0157, FDE_c: 4.5001±0.7416, FDE_d: 0.5470±0.0178
Experiment 20: ADE_a: 0.3113±0.1168, ADE_b: 0.4695±0.1319, ADE_c: 1.3689±0.3129, ADE_c: 0.2295±0.0114, FDE_a: 0.6285±0.0717, FDE_b: 0.5411±0.0237, FDE_c: 4.5630±0.7818, FDE_d: 0.5410±0.0268
Experiment 21: ADE_a: 0.3097±0.1137, ADE_b: 0.4716±0.1290, ADE_c: 1.3526±0.3186, ADE_c: 0.2325±0.0106, FDE_a: 0.6398±0.0705, FDE_b: 0.5489±0.0228, FDE_c: 4.4920±0.7303, FDE_d: 0.5475±0.0241
Experiment 22: ADE_a: 0.3030±0.1079, ADE_b: 0.4680±0.1252, ADE_c: 1.3752±0.3352, ADE_c: 0.2333±0.0118, FDE_a: 0.6314±0.0701, FDE_b: 0.5501±0.0245, FDE_c: 4.6115±0.8802, FDE_d: 0.5486±0.0255
Experiment 23: ADE_a: 0.3055±0.1084, ADE_b: 0.4707±0.1181, ADE_c: 1.3821±0.3509, ADE_c: 0.2365±0.0093, FDE_a: 0.6433±0.0839, FDE_b: 0.5567±0.0199, FDE_c: 4.6311±0.9247, FDE_d: 0.5554±0.0226
Experiment 24: ADE_a: 0.3040±0.1014, ADE_b: 0.4648±0.1152, ADE_c: 1.3634±0.3447, ADE_c: 0.2347±0.0094, FDE_a: 0.6369±0.0836, FDE_b: 0.5528±0.0187, FDE_c: 4.5540±0.8325, FDE_d: 0.5526±0.0188
Experiment 25: ADE_a: 0.3086±0.0972, ADE_b: 0.4634±0.1198, ADE_c: 1.3687±0.3498, ADE_c: 0.2376±0.0099, FDE_a: 0.6522±0.0927, FDE_b: 0.5591±0.0202, FDE_c: 4.5804±0.8662, FDE_d: 0.5600±0.0212
Experiment 26: ADE_a: 0.3039±0.0988, ADE_b: 0.4614±0.1138, ADE_c: 1.3598±0.3567, ADE_c: 0.2389±0.0121, FDE_a: 0.6323±0.0696, FDE_b: 0.5595±0.0242, FDE_c: 4.5886±0.9140, FDE_d: 0.5588±0.0280
Experiment 27: ADE_a: 0.3028±0.0957, ADE_b: 0.4573±0.1093, ADE_c: 1.3712±0.3673, ADE_c: 0.2378±0.0098, FDE_a: 0.6453±0.0811, FDE_b: 0.5596±0.0207, FDE_c: 4.6243±0.9530, FDE_d: 0.5595±0.0219
