Results for prediction length: 25
Experiment 20: ADE_a: 0.2219±0.0279, ADE_b: 0.2511±0.0239, ADE_c: 1.4097±0.2012, ADE_c: 0.2136±0.0168, FDE_a: 0.4600±0.0350, FDE_b: 0.4988±0.0359, FDE_c: 4.5338±0.5365, FDE_d: 0.4958±0.0348
Experiment 21: ADE_a: 0.2205±0.0287, ADE_b: 0.2520±0.0259, ADE_c: 1.4161±0.1893, ADE_c: 0.2153±0.0144, FDE_a: 0.4730±0.0353, FDE_b: 0.5023±0.0336, FDE_c: 4.5409±0.5027, FDE_d: 0.5003±0.0317
Experiment 22: ADE_a: 0.2225±0.0275, ADE_b: 0.2516±0.0229, ADE_c: 1.4291±0.1985, ADE_c: 0.2149±0.0147, FDE_a: 0.4741±0.0341, FDE_b: 0.5004±0.0338, FDE_c: 4.5645±0.5138, FDE_d: 0.5022±0.0315
Experiment 23: ADE_a: 0.2209±0.0293, ADE_b: 0.2510±0.0257, ADE_c: 1.4411±0.1788, ADE_c: 0.2148±0.0174, FDE_a: 0.4743±0.0380, FDE_b: 0.5050±0.0342, FDE_c: 4.5885±0.4707, FDE_d: 0.5010±0.0363
Experiment 24: ADE_a: 0.2163±0.0291, ADE_b: 0.2476±0.0223, ADE_c: 1.4253±0.1807, ADE_c: 0.2118±0.0172, FDE_a: 0.4676±0.0439, FDE_b: 0.4975±0.0337, FDE_c: 4.5622±0.4725, FDE_d: 0.4970±0.0385
Experiment 25: ADE_a: 0.2158±0.0265, ADE_b: 0.2421±0.0250, ADE_c: 1.4431±0.1781, ADE_c: 0.2118±0.0149, FDE_a: 0.4660±0.0298, FDE_b: 0.4961±0.0321, FDE_c: 4.6040±0.4744, FDE_d: 0.4972±0.0330
Experiment 26: ADE_a: 0.2135±0.0258, ADE_b: 0.2429±0.0229, ADE_c: 1.4409±0.1851, ADE_c: 0.2118±0.0149, FDE_a: 0.4620±0.0352, FDE_b: 0.5021±0.0308, FDE_c: 4.5914±0.4698, FDE_d: 0.4966±0.0317
Experiment 27: ADE_a: 0.2162±0.0284, ADE_b: 0.2509±0.0260, ADE_c: 1.4402±0.1906, ADE_c: 0.2178±0.0190, FDE_a: 0.4610±0.0447, FDE_b: 0.5088±0.0405, FDE_c: 4.5901±0.4889, FDE_d: 0.5012±0.0385
Experiment 28: ADE_a: 0.2133±0.0286, ADE_b: 0.2432±0.0214, ADE_c: 1.4405±0.1929, ADE_c: 0.2123±0.0129, FDE_a: 0.4565±0.0421, FDE_b: 0.5019±0.0247, FDE_c: 4.6026±0.4893, FDE_d: 0.4980±0.0307
Experiment 29: ADE_a: 0.2142±0.0285, ADE_b: 0.2407±0.0244, ADE_c: 1.4925±0.2669, ADE_c: 0.2101±0.0137, FDE_a: 0.4604±0.0324, FDE_b: 0.4953±0.0299, FDE_c: 4.6681±0.5512, FDE_d: 0.4941±0.0309
Experiment 30: ADE_a: 0.2125±0.0288, ADE_b: 0.2432±0.0217, ADE_c: 1.4501±0.1872, ADE_c: 0.2110±0.0132, FDE_a: 0.4545±0.0431, FDE_b: 0.4989±0.0249, FDE_c: 4.6274±0.4749, FDE_d: 0.4962±0.0316
Experiment 31: ADE_a: 0.2089±0.0270, ADE_b: 0.2403±0.0262, ADE_c: 1.4402±0.1846, ADE_c: 0.2106±0.0129, FDE_a: 0.4531±0.0374, FDE_b: 0.4993±0.0276, FDE_c: 4.6140±0.4686, FDE_d: 0.4968±0.0310
Experiment 32: ADE_a: 0.2131±0.0267, ADE_b: 0.2420±0.0232, ADE_c: 1.4691±0.2099, ADE_c: 0.2116±0.0140, FDE_a: 0.4538±0.0392, FDE_b: 0.4997±0.0270, FDE_c: 4.6621±0.5100, FDE_d: 0.4975±0.0299
Experiment 33: ADE_a: 0.2139±0.0278, ADE_b: 0.2407±0.0260, ADE_c: 1.4461±0.1811, ADE_c: 0.2119±0.0141, FDE_a: 0.4618±0.0372, FDE_b: 0.5004±0.0305, FDE_c: 4.6211±0.4536, FDE_d: 0.5010±0.0325
Experiment 34: ADE_a: 0.2116±0.0279, ADE_b: 0.2412±0.0291, ADE_c: 1.4819±0.2562, ADE_c: 0.2124±0.0155, FDE_a: 0.4616±0.0419, FDE_b: 0.5011±0.0337, FDE_c: 4.6337±0.4998, FDE_d: 0.4991±0.0325
Experiment 35: ADE_a: 0.2123±0.0278, ADE_b: 0.2408±0.0259, ADE_c: 1.4607±0.1812, ADE_c: 0.2115±0.0146, FDE_a: 0.4626±0.0403, FDE_b: 0.5013±0.0289, FDE_c: 4.6547±0.4454, FDE_d: 0.5014±0.0305
Experiment 36: ADE_a: 0.2103±0.0270, ADE_b: 0.2432±0.0236, ADE_c: 1.4633±0.1860, ADE_c: 0.2119±0.0135, FDE_a: 0.4550±0.0428, FDE_b: 0.5059±0.0262, FDE_c: 4.6537±0.4409, FDE_d: 0.5019±0.0313
Experiment 37: ADE_a: 0.2105±0.0288, ADE_b: 0.2382±0.0315, ADE_c: 1.4481±0.1825, ADE_c: 0.2111±0.0167, FDE_a: 0.4615±0.0397, FDE_b: 0.5013±0.0360, FDE_c: 4.6423±0.4444, FDE_d: 0.5018±0.0378
Experiment 38: ADE_a: 0.2139±0.0292, ADE_b: 0.2457±0.0288, ADE_c: 1.4653±0.1864, ADE_c: 0.2159±0.0166, FDE_a: 0.4599±0.0430, FDE_b: 0.5106±0.0352, FDE_c: 4.6800±0.4337, FDE_d: 0.5098±0.0390
Experiment 39: ADE_a: 0.2096±0.0288, ADE_b: 0.2386±0.0318, ADE_c: 1.4426±0.1831, ADE_c: 0.2111±0.0165, FDE_a: 0.4539±0.0431, FDE_b: 0.5001±0.0363, FDE_c: 4.6431±0.4433, FDE_d: 0.4994±0.0376
Experiment 40: ADE_a: 0.2090±0.0286, ADE_b: 0.2379±0.0293, ADE_c: 1.4488±0.1899, ADE_c: 0.2105±0.0153, FDE_a: 0.4542±0.0432, FDE_b: 0.4998±0.0317, FDE_c: 4.6510±0.4439, FDE_d: 0.4973±0.0342
Experiment 41: ADE_a: 0.2136±0.0288, ADE_b: 0.2435±0.0305, ADE_c: 1.7914±0.8571, ADE_c: 0.2148±0.0153, FDE_a: 0.4642±0.0455, FDE_b: 0.5069±0.0285, FDE_c: 5.5079±2.0716, FDE_d: 0.5050±0.0293
Experiment 42: ADE_a: 0.2097±0.0304, ADE_b: 0.2407±0.0299, ADE_c: 2.1411±1.5693, ADE_c: 0.2133±0.0152, FDE_a: 0.4556±0.0508, FDE_b: 0.5072±0.0309, FDE_c: 4.7595±0.6199, FDE_d: 0.5072±0.0346
Experiment 43: ADE_a: 0.2102±0.0260, ADE_b: 0.2388±0.0310, ADE_c: 1.4695±0.2493, ADE_c: 0.2130±0.0134, FDE_a: 0.4651±0.0379, FDE_b: 0.5058±0.0288, FDE_c: 4.6538±0.4832, FDE_d: 0.5052±0.0266
