Results for prediction length: 25
Experiment 27: ADE_a: 0.2983±0.0635, ADE_b: 0.3997±0.0740, ADE_c: 1.4134±0.5071, ADE_c: 0.2367±0.0116, FDE_a: 0.5977±0.0714, FDE_b: 0.5574±0.0239, FDE_c: 4.4479±1.3561, FDE_d: 0.5587±0.0234
Experiment 28: ADE_a: 0.2911±0.0578, ADE_b: 0.3985±0.0713, ADE_c: 1.4249±0.5034, ADE_c: 0.2381±0.0120, FDE_a: 0.5903±0.0636, FDE_b: 0.5606±0.0232, FDE_c: 4.4690±1.3475, FDE_d: 0.5612±0.0235
Experiment 29: ADE_a: 0.2936±0.0592, ADE_b: 0.3971±0.0703, ADE_c: 1.4246±0.5036, ADE_c: 0.2392±0.0119, FDE_a: 0.5992±0.0571, FDE_b: 0.5640±0.0242, FDE_c: 4.4648±1.3518, FDE_d: 0.5663±0.0261
Experiment 30: ADE_a: 0.2887±0.0552, ADE_b: 0.3951±0.0658, ADE_c: 1.4253±0.5099, ADE_c: 0.2409±0.0138, FDE_a: 0.5907±0.0522, FDE_b: 0.5669±0.0273, FDE_c: 4.4584±1.3784, FDE_d: 0.5671±0.0275
Experiment 31: ADE_a: 0.2896±0.0515, ADE_b: 0.3936±0.0661, ADE_c: 1.4259±0.5039, ADE_c: 0.2411±0.0148, FDE_a: 0.5850±0.0601, FDE_b: 0.5666±0.0295, FDE_c: 4.4617±1.3685, FDE_d: 0.5665±0.0285
Experiment 32: ADE_a: 0.2927±0.0519, ADE_b: 0.3904±0.0676, ADE_c: 1.4273±0.4998, ADE_c: 0.2429±0.0129, FDE_a: 0.5964±0.0672, FDE_b: 0.5728±0.0267, FDE_c: 4.4690±1.3600, FDE_d: 0.5728±0.0280
Experiment 33: ADE_a: 0.2868±0.0523, ADE_b: 0.3862±0.0654, ADE_c: 1.4303±0.5040, ADE_c: 0.2418±0.0116, FDE_a: 0.5825±0.0476, FDE_b: 0.5700±0.0251, FDE_c: 4.4710±1.3684, FDE_d: 0.5701±0.0245
Experiment 34: ADE_a: 0.2880±0.0520, ADE_b: 0.3849±0.0648, ADE_c: 1.4254±0.5029, ADE_c: 0.2422±0.0114, FDE_a: 0.5931±0.0604, FDE_b: 0.5710±0.0210, FDE_c: 4.4608±1.3785, FDE_d: 0.5720±0.0221
Experiment 35: ADE_a: 0.2895±0.0529, ADE_b: 0.3844±0.0645, ADE_c: 1.4170±0.4931, ADE_c: 0.2445±0.0095, FDE_a: 0.5869±0.0559, FDE_b: 0.5766±0.0199, FDE_c: 4.4553±1.3464, FDE_d: 0.5758±0.0210
Experiment 36: ADE_a: 0.2924±0.0476, ADE_b: 0.3829±0.0648, ADE_c: 1.4223±0.4960, ADE_c: 0.2462±0.0106, FDE_a: 0.6045±0.0830, FDE_b: 0.5794±0.0182, FDE_c: 4.4585±1.3547, FDE_d: 0.5809±0.0186
Experiment 37: ADE_a: 0.2853±0.0431, ADE_b: 0.3806±0.0608, ADE_c: 1.4140±0.4965, ADE_c: 0.2448±0.0122, FDE_a: 0.5860±0.0630, FDE_b: 0.5747±0.0232, FDE_c: 4.4469±1.3655, FDE_d: 0.5745±0.0245
Experiment 38: ADE_a: 0.2886±0.0468, ADE_b: 0.3810±0.0600, ADE_c: 1.4184±0.5076, ADE_c: 0.2469±0.0106, FDE_a: 0.5961±0.0731, FDE_b: 0.5815±0.0182, FDE_c: 4.4455±1.3993, FDE_d: 0.5820±0.0186
Experiment 39: ADE_a: 0.2865±0.0480, ADE_b: 0.3769±0.0610, ADE_c: 1.4122±0.4948, ADE_c: 0.2457±0.0116, FDE_a: 0.5873±0.0670, FDE_b: 0.5782±0.0231, FDE_c: 4.4504±1.3473, FDE_d: 0.5781±0.0227
Experiment 40: ADE_a: 0.2882±0.0439, ADE_b: 0.3753±0.0597, ADE_c: 1.4122±0.4961, ADE_c: 0.2480±0.0112, FDE_a: 0.5996±0.0624, FDE_b: 0.5828±0.0235, FDE_c: 4.4499±1.3424, FDE_d: 0.5847±0.0244
Experiment 41: ADE_a: 0.2858±0.0432, ADE_b: 0.3758±0.0583, ADE_c: 1.4101±0.4893, ADE_c: 0.2493±0.0115, FDE_a: 0.5910±0.0527, FDE_b: 0.5857±0.0217, FDE_c: 4.4483±1.3203, FDE_d: 0.5867±0.0214
Experiment 42: ADE_a: 0.2862±0.0451, ADE_b: 0.3732±0.0595, ADE_c: 1.4062±0.4863, ADE_c: 0.2482±0.0122, FDE_a: 0.5978±0.0592, FDE_b: 0.5813±0.0229, FDE_c: 4.4603±1.2911, FDE_d: 0.5832±0.0229
Experiment 43: ADE_a: 0.2837±0.0415, ADE_b: 0.3735±0.0600, ADE_c: 1.4133±0.4961, ADE_c: 0.2490±0.0099, FDE_a: 0.5851±0.0636, FDE_b: 0.5861±0.0161, FDE_c: 4.4622±1.3252, FDE_d: 0.5865±0.0172
Experiment 44: ADE_a: 0.2838±0.0431, ADE_b: 0.3721±0.0587, ADE_c: 1.4098±0.5018, ADE_c: 0.2493±0.0105, FDE_a: 0.5763±0.0563, FDE_b: 0.5863±0.0204, FDE_c: 4.4353±1.3576, FDE_d: 0.5862±0.0208
Experiment 45: ADE_a: 0.2849±0.0423, ADE_b: 0.3737±0.0564, ADE_c: 1.4081±0.4961, ADE_c: 0.2500±0.0140, FDE_a: 0.5866±0.0586, FDE_b: 0.5859±0.0283, FDE_c: 4.4556±1.3182, FDE_d: 0.5872±0.0295
