
Results for prediction length: 25
Experiment 24: ADE_a: 0.2288±0.0201, ADE_b: 0.2861±0.0172, ADE_c: 1.5858±2.4645, ADE_c: 0.2566±0.0214, FDE_a: 0.5236±0.0601, FDE_b: 0.5971±0.0433, FDE_c: 8.7063±15.3591, FDE_d: 0.5938±0.0470
Experiment 25: ADE_a: 0.2289±0.0156, ADE_b: 0.2883±0.0158, ADE_c: 1.0180±1.3214, ADE_c: 0.2576±0.0197, FDE_a: 0.5232±0.0483, FDE_b: 0.5986±0.0399, FDE_c: 4.9629±7.8543, FDE_d: 0.5959±0.0413
Experiment 26: ADE_a: 0.2307±0.0126, ADE_b: 0.2923±0.0206, ADE_c: 1.0748±1.4328, ADE_c: 0.2622±0.0216, FDE_a: 0.5243±0.0337, FDE_b: 0.6091±0.0476, FDE_c: 5.3761±8.6737, FDE_d: 0.6063±0.0446
Experiment 27: ADE_a: 0.2356±0.0233, ADE_b: 0.2925±0.0225, ADE_c: 1.2140±1.7129, ADE_c: 0.2637±0.0261, FDE_a: 0.5405±0.0626, FDE_b: 0.6101±0.0472, FDE_c: 6.3528±10.6443, FDE_d: 0.6097±0.0495
Experiment 28: ADE_a: 0.2308±0.0163, ADE_b: 0.2911±0.0169, ADE_c: 0.9804±1.2574, ADE_c: 0.2620±0.0194, FDE_a: 0.5268±0.0465, FDE_b: 0.6095±0.0370, FDE_c: 4.7341±7.4237, FDE_d: 0.6081±0.0364
Experiment 29: ADE_a: 0.2327±0.0183, ADE_b: 0.2962±0.0188, ADE_c: 1.3716±2.0396, ADE_c: 0.2651±0.0226, FDE_a: 0.5213±0.0467, FDE_b: 0.6190±0.0431, FDE_c: 7.4585±12.9004, FDE_d: 0.6119±0.0455
Experiment 30: ADE_a: 0.2344±0.0174, ADE_b: 0.2955±0.0192, ADE_c: 1.2129±1.7206, ADE_c: 0.2650±0.0233, FDE_a: 0.5326±0.0447, FDE_b: 0.6167±0.0438, FDE_c: 6.5141±10.9922, FDE_d: 0.6134±0.0464
Experiment 31: ADE_a: 0.2363±0.0152, ADE_b: 0.2986±0.0200, ADE_c: 1.3207±1.9413, ADE_c: 0.2676±0.0222, FDE_a: 0.5392±0.0375, FDE_b: 0.6215±0.0415, FDE_c: 7.3903±12.7628, FDE_d: 0.6188±0.0414
Experiment 32: ADE_a: 0.2391±0.0161, ADE_b: 0.3021±0.0191, ADE_c: 1.1022±1.4938, ADE_c: 0.2710±0.0221, FDE_a: 0.5387±0.0428, FDE_b: 0.6296±0.0425, FDE_c: 5.5841±9.1401, FDE_d: 0.6248±0.0423
Experiment 33: ADE_a: 0.2371±0.0184, ADE_b: 0.2992±0.0173, ADE_c: 0.9683±1.2388, ADE_c: 0.2675±0.0216, FDE_a: 0.5389±0.0502, FDE_b: 0.6218±0.0396, FDE_c: 4.8437±7.6863, FDE_d: 0.6196±0.0418
Experiment 34: ADE_a: 0.2398±0.0203, ADE_b: 0.3023±0.0185, ADE_c: 1.1354±1.5590, ADE_c: 0.2702±0.0233, FDE_a: 0.5434±0.0512, FDE_b: 0.6270±0.0415, FDE_c: 6.0391±10.0361, FDE_d: 0.6246±0.0446
Experiment 35: ADE_a: 0.2393±0.0189, ADE_b: 0.2997±0.0204, ADE_c: 1.1448±1.5942, ADE_c: 0.2699±0.0236, FDE_a: 0.5428±0.0471, FDE_b: 0.6270±0.0433, FDE_c: 5.9517±9.9224, FDE_d: 0.6246±0.0449
Experiment 36: ADE_a: 0.2385±0.0189, ADE_b: 0.3055±0.0149, ADE_c: 1.1568±1.6126, ADE_c: 0.2731±0.0193, FDE_a: 0.5373±0.0517, FDE_b: 0.6350±0.0332, FDE_c: 6.1338±10.2597, FDE_d: 0.6302±0.0366
Experiment 37: ADE_a: 0.2402±0.0188, ADE_b: 0.3048±0.0173, ADE_c: 1.3364±1.9682, ADE_c: 0.2733±0.0212, FDE_a: 0.5402±0.0493, FDE_b: 0.6350±0.0385, FDE_c: 7.2571±12.5072, FDE_d: 0.6298±0.0410
Experiment 38: ADE_a: 0.2460±0.0198, ADE_b: 0.3062±0.0196, ADE_c: 1.0017±1.2974, ADE_c: 0.2768±0.0222, FDE_a: 0.5545±0.0493, FDE_b: 0.6427±0.0376, FDE_c: 5.1192±8.2331, FDE_d: 0.6398±0.0414
Experiment 39: ADE_a: 0.2442±0.0198, ADE_b: 0.3064±0.0199, ADE_c: 0.9271±1.1488, ADE_c: 0.2768±0.0233, FDE_a: 0.5486±0.0458, FDE_b: 0.6420±0.0433, FDE_c: 4.3415±6.6949, FDE_d: 0.6382±0.0453
Experiment 40: ADE_a: 0.2449±0.0192, ADE_b: 0.3080±0.0188, ADE_c: 0.9710±1.2388, ADE_c: 0.2780±0.0208, FDE_a: 0.5524±0.0468, FDE_b: 0.6468±0.0350, FDE_c: 4.5786±7.1572, FDE_d: 0.6437±0.0381
